
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
48:7A:DA:E8:CD:F0, 2021-11-12 14:40:56, 2021-11-12 14:47:50, 161, 780, OPN, ,   , -70,       78,       87, 172. 22.  0.  1,   5, PPSUC, 
48:7A:DA:E8:CD:F1, 2021-11-12 14:40:56, 2021-11-12 14:47:50, 161, 780, OPN, ,   , -72,       75,        0,   0.  0.  0.  0,  10, PPSUC_5Ghz, 
58:66:BA:6B:D0:21, 2021-11-12 14:40:56, 2021-11-12 14:47:17, 157, 270, OPN, ,   , -79,        2,        0,   0.  0.  0.  0,  10, PPSUC_5Ghz, 
48:7A:DA:E9:00:61, 2021-11-12 14:40:56, 2021-11-12 14:45:41, 157, 780, OPN, ,   , -77,       10,       11, 172. 22.  0.  1,  10, PPSUC_5Ghz, 
48:7A:DA:E9:49:18, 2021-11-12 14:41:31, 2021-11-12 14:42:34,  1,  65, OPN, ,   , -58,        2,        0,   0.  0.  0.  0,   5, PPSUC, 
48:7A:DA:E9:00:60, 2021-11-12 14:40:56, 2021-11-12 14:47:48, 157, 780, OPN, ,   , -79,       11,       11, 172. 22.  0.  1,   5, PPSUC, 
B0:F9:63:77:09:30, 2021-11-12 14:40:53, 2021-11-12 14:47:46, 149, 780, OPN, ,   , -78,       26,       67, 172. 22. 42.201,   5, PPSUC, 
B0:F9:63:77:09:31, 2021-11-12 14:40:53, 2021-11-12 14:47:46, 149, 780, OPN, ,   , -77,       22,        0,   0.  0.  0.  0,  10, PPSUC_5Ghz, 
48:7A:DA:E9:49:10, 2021-11-12 14:40:54, 2021-11-12 14:47:48, 153, 780, OPN, ,   , -46,      153,      262, 172. 22.  0.  1,   5, PPSUC, 
48:7A:DA:E9:49:11, 2021-11-12 14:40:54, 2021-11-12 14:47:48, 153, 780, OPN, ,   , -46,      146,        0,   0.  0.  0.  0,  10, PPSUC_5Ghz, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C2:61:CA:2D:4D:F0, 2021-11-12 14:42:28, 2021-11-12 14:47:14, -72,       15, B0:F9:63:77:09:30,
4C:F2:02:B6:F6:4E, 2021-11-12 14:40:54, 2021-11-12 14:47:14, -76,       12, B0:F9:63:77:09:30,
C2:08:AC:B9:4D:EE, 2021-11-12 14:45:08, 2021-11-12 14:46:10, -45,        2, 48:7A:DA:E9:49:10,
64:DD:E9:5E:72:ED, 2021-11-12 14:40:53, 2021-11-12 14:46:10, -77,        2, B0:F9:63:77:09:30,
F2:25:38:F2:B3:64, 2021-11-12 14:45:58, 2021-11-12 14:45:58, -71,        2, (not associated) ,
B2:F6:CF:76:1E:EB, 2021-11-12 14:42:48, 2021-11-12 14:45:58, -72,        7, 48:7A:DA:E8:D1:31,
4A:56:B7:5F:F4:F2, 2021-11-12 14:45:58, 2021-11-12 14:45:58, -77,        2, (not associated) ,
56:70:6D:CD:05:26, 2021-11-12 14:45:11, 2021-11-12 14:45:12, -77,        2, (not associated) ,
2A:15:F7:1A:45:0E, 2021-11-12 14:41:28, 2021-11-12 14:45:11, -78,       33, 48:7A:DA:E8:CD:F0,
CA:86:E0:3B:71:05, 2021-11-12 14:42:31, 2021-11-12 14:45:09, -80,        5, 48:7A:DA:E9:00:61,
3E:66:5D:91:E8:19, 2021-11-12 14:43:02, 2021-11-12 14:44:37, -70,        5, 48:7A:DA:E9:00:60,
EC:0B:AE:2E:7E:60, 2021-11-12 14:43:15, 2021-11-12 14:44:13, -36,        3, 34:2E:B6:FF:C7:AC,
DA:A1:19:87:58:E8, 2021-11-12 14:43:11, 2021-11-12 14:43:12, -51,        5, (not associated) ,
DA:A1:19:B1:37:5C, 2021-11-12 14:42:46, 2021-11-12 14:42:46, -80,        2, (not associated) ,PPSUC
62:8A:48:19:A9:48, 2021-11-12 14:42:33, 2021-11-12 14:42:33, -79,        1, (not associated) ,
56:16:DB:93:B1:6A, 2021-11-12 14:41:57, 2021-11-12 14:41:57, -71,        4, 00:25:00:FF:94:73,
5E:45:BF:8A:0C:99, 2021-11-12 14:41:13, 2021-11-12 14:41:13, -77,        2, (not associated) ,
72:B3:B9:C5:43:A9, 2021-11-12 14:40:39, 2021-11-12 14:40:39, -77,        2, (not associated) ,
2A:CC:2A:4A:5A:5B, 2021-11-12 14:40:56, 2021-11-12 14:40:56, -73,        2, (not associated) ,
DA:A1:19:92:B3:58, 2021-11-12 14:41:43, 2021-11-12 14:41:43, -49,        4, (not associated) ,AIR X
F6:A4:5E:50:31:11, 2021-11-12 14:43:20, 2021-11-12 14:43:20, -72,        2, (not associated) ,
94:B8:6D:75:76:AA, 2021-11-12 14:43:16, 2021-11-12 14:43:17, -43,        3, (not associated) ,PPSUC
3E:A1:1E:4C:7C:DD, 2021-11-12 14:43:35, 2021-11-12 14:44:39, -79,        2, 48:7A:DA:E8:CD:F0,
D2:C7:D2:6C:3F:61, 2021-11-12 14:41:28, 2021-11-12 14:44:39, -77,        4, 48:7A:DA:E8:CD:F0,
CA:FC:31:DB:08:02, 2021-11-12 14:45:43, 2021-11-12 14:45:43, -68,        1, (not associated) ,
58:85:A2:01:71:49, 2021-11-12 14:41:59, 2021-11-12 14:45:41, -67,        9, 48:7A:DA:E9:00:61,
0A:45:84:3A:2B:9F, 2021-11-12 14:40:41, 2021-11-12 14:46:43, -71,       33, 48:7A:DA:E9:24:91,PPSUC_5Ghz
AA:57:F2:02:82:EF, 2021-11-12 14:46:41, 2021-11-12 14:46:41, -70,        2, (not associated) ,
5A:A2:39:07:F2:1A, 2021-11-12 14:46:43, 2021-11-12 14:46:43, -70,        2, (not associated) ,
24:24:0E:A2:78:EE, 2021-11-12 14:40:54, 2021-11-12 14:46:44, -46,       13, 48:7A:DA:E9:49:10,
EE:70:67:62:DA:CA, 2021-11-12 14:41:45, 2021-11-12 14:47:15, -79,       19, 48:7A:DA:E9:24:90,PPSUC
DA:A1:19:F8:02:91, 2021-11-12 14:47:46, 2021-11-12 14:47:46, -78,        1, (not associated) ,
F4:60:E2:6E:19:84, 2021-11-12 14:45:59, 2021-11-12 14:47:49, -77,        7, (not associated) ,GxdrQQAAAAAAQwIj\xD0\xA1\xC3\xD7\xCA\xD6\xBB\xFA,GxdrQQAAAAAAQwIj小米手机
92:32:91:C0:01:CF, 2021-11-12 14:43:02, 2021-11-12 14:47:15, -75,        5, 48:7A:DA:E9:24:90,
8A:37:62:C4:EB:97, 2021-11-12 14:47:34, 2021-11-12 14:47:34, -75,        2, (not associated) ,
F6:FF:77:C3:52:17, 2021-11-12 14:40:57, 2021-11-12 14:47:18, -73,       13, 48:7A:DA:E8:CD:F0,
16:0B:EB:54:99:D9, 2021-11-12 14:47:46, 2021-11-12 14:47:46, -73,        4, B0:F9:63:77:09:30,
C6:9F:F4:5B:D8:78, 2021-11-12 14:48:06, 2021-11-12 14:48:06, -72,        2, (not associated) ,
B8:63:4D:C3:65:5F, 2021-11-12 14:45:38, 2021-11-12 14:47:48, -70,        3, 48:7A:DA:E9:24:90,
DE:43:71:BC:6D:90, 2021-11-12 14:47:46, 2021-11-12 14:47:46, -66,        1, (not associated) ,
72:DC:06:B2:B3:F6, 2021-11-12 14:44:04, 2021-11-12 14:47:48, -52,        6, 48:7A:DA:E9:49:10,
42:F0:A1:CD:36:8A, 2021-11-12 14:41:57, 2021-11-12 14:47:47, -48,       11, 48:7A:DA:E9:49:10,
98:2C:BC:8C:1E:FA, 2021-11-12 14:44:04, 2021-11-12 14:47:47, -46,       31, 48:7A:DA:E9:49:10,416
CC:D2:81:1F:33:67, 2021-11-12 14:40:54, 2021-11-12 14:48:06, -45,       54, 48:7A:DA:E9:49:10,PPSUC
50:8E:49:4B:0C:EA, 2021-11-12 14:41:25, 2021-11-12 14:47:47, -33,       67, 48:7A:DA:E9:49:10,
C4:9D:ED:97:FF:57, 2021-11-12 14:40:54, 2021-11-12 14:47:48, -25,      520, 34:2E:B6:FF:C7:B0,
